category,id,label,selector
Person,kuxwkvce4roizgj,BOMO EDNA EDITH MOLEWA,BOMO EDNA EDITH MOLEWA
Person,fewgfbp5lkh8dxs,KGOTSO ZACHARIAH MORAPELA,KGOTSO ZACHARIAH MORAPELA
Person,eq4ta7d4ao6gw6p,Pebane George Moteka,Pebane George Moteka
Person,h6d9ibffhazgj4c,MATHOLE SEROFO MOTSHEKGA,MATHOLE SEROFO MOTSHEKGA
Person,nv3taiwqpxdtfxm,Malusi Stanley Motimele,MALUSI STANLEY MOTIMELE
Person,n622ajyatsfoxhd,MASEFELE ROSALIA MORUTOA,MASEFELE ROSALIA MORUTOA
Person,l3qxo5ui7vsvajk,JAMES SELFE,JAMES SELFE
Person,k99w2r2kmxr5eul,CORNELIA CAROL SEPTEMBER,CORNELIA CAROL SEPTEMBER
Person,bo8lmp564whuyko,SENZENI ZOKWANA,SENZENI ZOKWANA
Person,o4l8eeopf6xmx1j,LINDIWE DAPHNE ZULU,LINDIWE DAPHNE ZULU
Person,ixmk6uwcwopmy6c,Vuyani Morgan Limba,Vuyani Morgan Limba
Person,e1oyk1ifja14pe1,Sakhumzi Somyo,Sakhumzi Somyo
Person,oypwe3vgd9e1ugv,Robert (Bobby) Stevenson,Robert (Bobby) Stevenson
Person,mm4nsnyrtwhb6nj,Roy Jankielsohn,Roy Jankielsohn
Person,mxtyq3j41mi51ae,Crosby Fundile Njwabule,Crosby Fundile Njwabule
Person,eyrffxasjydijpr,Ellen Lekgetho,Ellen Lekgetho
Person,jhpudbd03xp3ye3,SEROPANE SENYANE ALTON MPHETHI,SEROPANE SENYANE ALTON MPHETHI
Person,o2scs12ukf09ztv,VERONICA ZANELE MSIBI,VERONICA ZANELE MSIBI
Person,k7rp5rhpsp4xbtz,NOKUKHANYA MTHEMBU,NOKUKHANYA MTHEMBU
Person,b73khwbiu37t2yq,ABRAM MOLEFE MUDAU,ABRAM MOLEFE MUDAU
Person,jdaseqx4p5q8kq2,ANDRIES CARL NEL,ANDRIES CARL NEL
Person,e2pr5w4b1fvvinz,BONGINKOSI EMMANUEL NZIMANDE,BONGINKOSI EMMANUEL NZIMANDE
Person,h6pe4r4hqnwb78l,Claudia Nonhlanhla Ndaba,CLAUDIA NONHLANHLA NDABA
Person,lvaqmbcvj3vgj21,KENNETH SILILO MUBU,KENNETH SILILO MUBU
Person,vsauvlcxx0mc3yf,BEATRICE THEMBEKILE NGCOBO,BEATRICE THEMBEKILE NGCOBO
Person,eor1qselc97loq4,PHUMUZILE CATHERINE NGWENYA-MABILA,PHUMUZILE CATHERINE NGWENYA-MABILA
Person,qh3skoql87wy5je,DEBORAH DINEO RAPHUTI,DEBORAH DINEO RAPHUTI
Person,i4rcxnmt7mclkqg,AHMED MUNZOOR SHAIK EMAM,AHMED MUNZOOR SHAIK EMAM
Person,ei02gpd1xigo0ry,KHETHAMABALA PETROS SITHOLE,KHETHAMABALA PETROS SITHOLE
Person,f19n5bak1wdklko,JAMES JIM SKOSANA,JAMES JIM SKOSANA
Person,bdngryodroyzmyv,Jackson Mphikwa Mthembu,JACKSON MPHIKWA MTHEMBU
